longitude,latitude
30.355077,50.464768
30.355491,50.464779
30.355956,50.464797
30.357044,50.464846
30.359539,50.464997
30.361946,50.465156
30.362706,50.465211
30.363367,50.465248
30.36348,50.465254
30.365663,50.4654
30.366711,50.465473
30.366819,50.465435
30.367634,50.46503
30.36809,50.464819
30.369482,50.464149
30.370931,50.463456
30.371561,50.463151
30.372648,50.462618
30.374923,50.461498
30.376985,50.460525
30.377818,50.460078
30.37809,50.45952
30.378206,50.458773
30.378999,50.458749
30.380874,50.458874
30.381632,50.458925
30.382906,50.45901
30.384566,50.459121
30.387289,50.459303
30.387711,50.45922
30.387897,50.458958
30.387831,50.458687
30.387524,50.458399
30.387253,50.458137
30.386943,50.457104
30.386657,50.456763
30.386344,50.456715
30.385959,50.456847
30.3859,50.45702
30.385999,50.457156
30.386691,50.457307
30.392422,50.457705
30.394395,50.457835
30.397744,50.458054
30.401595,50.458323
30.411126,50.458918
30.412336,50.459031
30.414202,50.459241
30.415373,50.459293
30.416972,50.459181
30.420301,50.458633
30.424932,50.45788
30.426974,50.457544
30.431487,50.45681
30.43329,50.456516
30.436873,50.455928
30.438366,50.455685
30.444999,50.45459
30.447477,50.454199
30.450018,50.453792
30.46115,50.45193
30.465798,50.451203
30.469056,50.450684
30.475252,50.449663
30.47907,50.449037
30.481356,50.448616
30.483191,50.448231
30.484173,50.448065
30.487621,50.447491
30.490599,50.446995
30.490852,50.446953
30.491994,50.446762
30.493366,50.446539
30.49429,50.446396
30.494319,50.446757
30.494351,50.447095
30.495905,50.447732
30.497,50.44817
30.49767,50.448439
30.49833,50.448701
30.498965,50.448898
30.499855,50.449182
30.502523,50.450028
30.503059,50.45019
30.504245,50.450567
30.505217,50.450875
30.506194,50.451184
30.506532,50.451291
30.507565,50.451615
30.508541,50.452082
30.509136,50.451709
30.50981,50.451173
30.510314,50.450773
30.510521,50.450624
30.511174,50.450102
30.511808,50.449594
30.511937,50.449491
30.512254,50.449313
30.512722,50.449238
30.513588,50.449102
30.514739,50.448913
30.516074,50.448696
30.516878,50.448565
30.518073,50.448373
30.519263,50.448178
30.51945,50.448149
30.520257,50.448024
30.520774,50.447944
30.521843,50.447785
30.522254,50.447917
30.522448,50.448315
30.522768,50.448799
30.523232,50.449312
30.523489,50.449537
30.524607,50.450358
30.525816,50.45123
30.52677,50.45188
30.527956,50.451798
30.528361,50.451548
30.529269,50.450699
30.529779,50.450869
30.53428,50.452328
30.534917,50.452434
30.536992,50.451374
30.538614,50.450437
30.539412,50.449748
30.539864,50.449092
30.540464,50.448794
30.540596,50.448739
30.542115,50.448141
30.542664,50.447628
30.543057,50.447247
30.545334,50.446387
30.547149,50.445511
30.548149,50.444792
30.54893,50.444094
30.549626,50.443819
30.550997,50.443562
30.551844,50.443334
30.552956,50.442972
30.553828,50.442634
30.554562,50.442163
30.556747,50.440719
30.559886,50.438439
30.561982,50.436594
30.5623,50.436032
30.562528,50.435865
30.562787,50.435842
30.562968,50.43592
30.563015,50.436404
30.562864,50.437482
30.562762,50.437868
30.561761,50.439044
30.560692,50.440222
30.559862,50.441148
30.559985,50.44132
30.569439,50.443955
30.570609,50.444369
30.576827,50.446093
30.592808,50.450514
30.596147,50.45146
30.598403,50.452077
30.600466,50.452657
30.60287,50.45333
30.607233,50.454603
30.607516,50.45527
30.607791,50.455932
30.608116,50.4562
30.608596,50.456314
30.608927,50.456297
30.609418,50.45606
30.610194,50.454959
30.610908,50.453935
30.611218,50.453474
30.611409,50.452985
30.610825,50.452821
30.610808,50.453359
30.611035,50.453746
30.611053,50.453975
30.61219,50.454289
30.613683,50.454702
30.614258,50.455338
30.613805,50.455608
30.613464,50.455513
30.613805,50.455608
30.614258,50.455338
30.613683,50.454702
30.61219,50.454289
30.611053,50.453975
30.611035,50.453746
30.610808,50.453359
30.610825,50.452821
30.611409,50.452985
30.611218,50.453474
30.610908,50.453935
30.610194,50.454959
30.609418,50.45606
30.608927,50.456297
30.608596,50.456314
30.608116,50.4562
30.607791,50.455932
30.607516,50.45527
30.607233,50.454603
30.60287,50.45333
30.600466,50.452657
30.598403,50.452077
30.596147,50.45146
30.592808,50.450514
30.576827,50.446093
30.570609,50.444369
30.569439,50.443955
30.559985,50.44132
30.559862,50.441148
30.560692,50.440222
30.561761,50.439044
30.562762,50.437868
30.562864,50.437482
30.563015,50.436404
30.562968,50.43592
30.562787,50.435842
30.562528,50.435865
30.5623,50.436032
30.561982,50.436594
30.559886,50.438439
30.556747,50.440719
30.554562,50.442163
30.553828,50.442634
30.552956,50.442972
30.551844,50.443334
30.550997,50.443562
30.549626,50.443819
30.54893,50.444094
30.548149,50.444792
30.547149,50.445511
30.545334,50.446387
30.543057,50.447247
30.542664,50.447628
30.542115,50.448141
30.540596,50.448739
30.540464,50.448794
30.539864,50.449092
30.539412,50.449748
30.538614,50.450437
30.536992,50.451374
30.534917,50.452434
30.53428,50.452328
30.529779,50.450869
30.529269,50.450699
30.528361,50.451548
30.527956,50.451798
30.52677,50.45188
30.525816,50.45123
30.524607,50.450358
30.523489,50.449537
30.523232,50.449312
30.522768,50.448799
30.522448,50.448315
30.522254,50.447917
30.521843,50.447785
30.520774,50.447944
30.520257,50.448024
30.51945,50.448149
30.519263,50.448178
30.518073,50.448373
30.516878,50.448565
30.516074,50.448696
30.514739,50.448913
30.513588,50.449102
30.512722,50.449238
30.512254,50.449313
30.511937,50.449491
30.511808,50.449594
30.511174,50.450102
30.510521,50.450624
30.510314,50.450773
30.50981,50.451173
30.509136,50.451709
30.508541,50.452082
30.507565,50.451615
30.506532,50.451291
30.506194,50.451184
30.505217,50.450875
30.504245,50.450567
30.503059,50.45019
30.502523,50.450028
30.499855,50.449182
30.498965,50.448898
30.49833,50.448701
30.49767,50.448439
30.497,50.44817
30.495905,50.447732
30.494351,50.447095
30.494319,50.446757
30.49429,50.446396
30.493366,50.446539
30.491994,50.446762
30.490852,50.446953
30.490599,50.446995
30.487621,50.447491
30.484173,50.448065
30.483191,50.448231
30.481356,50.448616
30.47907,50.449037
30.475252,50.449663
30.469056,50.450684
30.465798,50.451203
30.46115,50.45193
30.450018,50.453792
30.447477,50.454199
30.444999,50.45459
30.438366,50.455685
30.436873,50.455928
30.43329,50.456516
30.431487,50.45681
30.426974,50.457544
30.424932,50.45788
30.420301,50.458633
30.416972,50.459181
30.415373,50.459293
30.414202,50.459241
30.412336,50.459031
30.411126,50.458918
30.401595,50.458323
30.397744,50.458054
30.394395,50.457835
30.392422,50.457705
30.386691,50.457307
30.385999,50.457156
30.3859,50.45702
30.385959,50.456847
30.386344,50.456715
30.386657,50.456763
30.386943,50.457104
30.387253,50.458137
30.387524,50.458399
30.387831,50.458687
30.387897,50.458958
30.387711,50.45922
30.387289,50.459303
30.384566,50.459121
30.382906,50.45901
30.381632,50.458925
30.380874,50.458874
30.378999,50.458749
30.378206,50.458773
30.37809,50.45952
30.377818,50.460078
30.376985,50.460525
30.374923,50.461498
30.372648,50.462618
30.371561,50.463151
30.370931,50.463456
30.369482,50.464149
30.36809,50.464819
30.367634,50.46503
30.366819,50.465435
30.366711,50.465473
30.365663,50.4654
30.36348,50.465254
30.363367,50.465248
30.362706,50.465211
30.361946,50.465156
30.359539,50.464997
30.357044,50.464846
30.355956,50.464797
30.355491,50.464779
30.355077,50.464768
